"","ERR.24","ERR.26","ERR.27","ERR.28","ERR.29","ERR.25","ERR","ERR.2","ERR.3","ERR.4","ERR.5","ERR.1","ERR.126","ERR.128","ERR.129","ERR.130","ERR.131","ERR.127","ERR.102","ERR.104","ERR.105","ERR.106","ERR.107","ERR.103"
"model","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"n","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"p","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200"
"delta","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1"
"M","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","I","I","I","I","I","I","I","I","I","I","I","I"
"covmatrix","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR"
"Tn1","0.984","0.536","0.715","1.188","1.669","2.064","-0.467","0.117","0.985","1.668","2.121","2.413","0.984","0.536","0.715","1.188","1.669","2.064","-0.467","0.117","0.985","1.668","2.121","2.413"
"Size1","0.042","0.108","0.26","0.55","0.71","0.8","0.036","0.066","0.168","0.358","0.486","0.58","0.042","0.108","0.26","0.55","0.71","0.8","0.036","0.066","0.168","0.358","0.486","0.58"
"Size2","0.048","0.104","0.478","0.832","0.952","0.974","0.042","0.088","0.344","0.604","0.754","0.854","0.048","0.104","0.478","0.832","0.952","0.974","0.042","0.088","0.344","0.604","0.754","0.854"
"Size3","0.046","0.154","0.686","0.97","0.998","1","0.04","0.104","0.464","0.814","0.934","0.98","0.046","0.154","0.686","0.97","0.998","1","0.04","0.104","0.464","0.814","0.934","0.98"
"Time1","28.623","48.831","49.67","48.971","49.023","48.836","50.765","119.89","121.076","120.758","120.246","119.26","0.45","0.443","0.433","0.404","0.392","0.367","1.45","1.417","1.183","0.989","0.93","0.897"
"Time2","57.217","97.581","99.27","97.873","98.004","97.604","101.533","239.633","242.573","241.234","240.054","238.141","0.881","0.856","0.839","0.801","0.778","0.734","2.777","2.7","2.312","1.936","1.811","1.782"
"Time3","48.839","77.318","77.742","77.176","77.426","77.119","81.791","183.992","185.662","185.409","182.819","183.047","0.611","0.587","0.533","0.527","0.499","0.454","1.545","1.491","1.296","1.087","1.004","0.999"
