"","ERR.84","ERR.86","ERR.87","ERR.88","ERR.89","ERR.85","ERR.60","ERR.62","ERR.63","ERR.64","ERR.65","ERR.61","ERR.186","ERR.188","ERR.189","ERR.190","ERR.191","ERR.187","ERR.162","ERR.164","ERR.165","ERR.166","ERR.167","ERR.163"
"model","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"n","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"p","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200"
"delta","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1"
"M","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","I","I","I","I","I","I","I","I","I","I","I","I"
"covmatrix","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS"
"Tn1","0.039","4.662","9.392","11.681","12.834","13.423","-1.144","1.758","12.701","10.187","11.94","14.914","0.011","4.646","9.324","11.654","12.856","13.493","1.233","5.289","8.534","10.218","11.139","11.606"
"Size1","0.04","0.856","1","1","1","1","0.032","0.823","1","1","1","1","0.046","0.854","1","1","1","1","0.04","0.82","1","1","1","1"
"Size2","0.064","0.986","1","1","1","1","0.045","0.982","1","1","1","1","0.066","0.984","1","1","1","1","0.052","0.98","1","1","1","1"
"Size3","0.052","1","1","1","1","1","0.041","0.998","1","1","1","1","0.054","1","1","1","1","1","0.038","1","1","1","1","1"
"Time1","55.272","55.021","55.112","55.556","54.844","54.957","128.602","132.765","126.291","124.865","123.707","119.723","0.377","0.37","0.336","0.305","0.3","0.284","0.702","0.655","0.564","0.422","0.389","0.375"
"Time2","110.512","110.003","110.173","111.097","109.659","109.859","256.755","265.392","252.238","249.723","247.634","239.867","0.744","0.694","0.652","0.601","0.581","0.552","1.379","1.313","1.112","0.834","0.771","0.739"
"Time3","85.491","85.212","85.295","85.589","84.708","85.319","208.666","217.048","205.308","203.285","201.572","193.046","0.608","0.526","0.444","0.407","0.358","0.344","0.92","0.863","0.686","0.48","0.451","0.434"
