"","ERR.36","ERR.38","ERR.39","ERR.40","ERR.41","ERR.37","ERR.12","ERR.14","ERR.15","ERR.16","ERR.17","ERR.13","ERR.138","ERR.140","ERR.141","ERR.142","ERR.143","ERR.139","ERR.114","ERR.116","ERR.117","ERR.118","ERR.119","ERR.115"
"model","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"n","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"p","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200"
"delta","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1"
"M","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","Hat","I","I","I","I","I","I","I","I","I","I","I","I"
"covmatrix","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR"
"Tn1","0.791","0.4","0.023","-0.198","-0.311","-0.368","-1.847","-1.676","-1.693","-1.487","-1.123","-0.769","0.863","0.475","0.061","-0.15","-0.226","-0.248","-2.128","-1.787","-1.644","-1.4","-1.069","-0.677"
"Size1","0.044","0.054","0.054","0.064","0.078","0.108","0.032","0.032","0.042","0.054","0.058","0.068","0.048","0.056","0.062","0.07","0.09","0.118","0.046","0.038","0.04","0.046","0.062","0.072"
"Size2","0.05","0.05","0.056","0.076","0.096","0.144","0.05","0.046","0.068","0.088","0.098","0.12","0.05","0.05","0.058","0.074","0.108","0.16","0.044","0.048","0.06","0.072","0.098","0.13"
"Size3","0.046","0.054","0.064","0.09","0.142","0.208","0.062","0.058","0.064","0.088","0.116","0.166","0.042","0.056","0.068","0.104","0.178","0.258","0.062","0.062","0.068","0.09","0.136","0.182"
"Time1","49.998","48.948","48.929","48.849","50.497","49.453","113.814","107.253","103.427","101.588","99.36","91.729","0.347","0.342","0.337","0.306","0.29","0.281","0.692","0.693","0.527","0.402","0.391","0.375"
"Time2","99.985","97.853","97.819","97.619","100.923","98.864","227.433","214.826","206.586","203.163","198.717","183.465","0.669","0.664","0.646","0.602","0.582","0.553","1.355","1.34","1.056","0.797","0.762","0.734"
"Time3","78.52","77.718","77.758","76.938","78.082","78.592","170.47","163.402","156.224","153.262","149.692","139.326","0.516","0.481","0.445","0.432","0.402","0.389","0.826","0.822","0.69","0.49","0.467","0.437"
