"","ERR.48","ERR.53","ERR.49","ERR.50","ERR.51","ERR.52","ERR.150","ERR.155","ERR.151","ERR.152","ERR.153","ERR.154"
"model","5","5","5","5","5","5","5","5","5","5","5","5"
"n","200","200","200","200","200","200","200","200","200","200","200","200"
"p","600","600","600","600","600","600","600","600","600","600","600","600"
"delta","0","0.8","1.6","2.4","3.2","4","0","0.8","1.6","2.4","3.2","4"
"M","Hat","Hat","Hat","Hat","Hat","Hat","I","I","I","I","I","I"
"covmatrix","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR"
"Tn1","-0.48","1.457","0.226","0.302","3.404","7.427","0.076","-0.494","0.984","3.05","1.674","1.697"
"Size1","0.046","0.068","0.162","0.288","0.446","0.564","0.052","0.084","0.192","0.362","0.592","0.744"
"Size2","0.052","0.078","0.232","0.476","0.716","0.838","0.062","0.08","0.328","0.646","0.854","0.96"
"Size3","0.076","0.1","0.514","0.89","0.982","0.994","0.078","0.112","0.58","0.914","0.996","1"
"Time1","39.237","38.92","39.565","39.445","39.838","39.575","0.183","0.205","0.205","0.201","0.199","0.178"
"Time2","78.434","77.794","79.096","78.856","79.618","79.069","0.37","0.396","0.385","0.389","0.369","0.361"
"Time3","61.945","61.295","61.831","61.645","62.167","61.827","0.237","0.228","0.233","0.231","0.226","0.234"
