"","ERR.90","ERR.92","ERR.93","ERR.94","ERR.95","ERR.91","ERR.66","ERR.68","ERR.69","ERR.70","ERR.71","ERR.67","ERR.294","ERR.296","ERR.297","ERR.298","ERR.299","ERR.295","ERR.270","ERR.272","ERR.273","ERR.274","ERR.275","ERR.271","ERR.192","ERR.194","ERR.195","ERR.196","ERR.197","ERR.193","ERR.168","ERR.170","ERR.171","ERR.172","ERR.173","ERR.169","ERR.402","ERR.404","ERR.405","ERR.406","ERR.407","ERR.403","ERR.378","ERR.380","ERR.381","ERR.382","ERR.383","ERR.379"
"model","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"n","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
"p","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200","600","600","600","600","600","600","1200","1200","1200","1200","1200","1200"
"delta","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1","0","0.2","0.4","0.6","0.8","1"
"combine","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"covmatrix","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS","BCS"
"method","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2"
"T_PE2","0.056","0.062","0.108","0.442","0.856","0.992","0.048","0.054","0.084","0.368","0.809","0.985","0.062","0.068","0.252","0.808","0.996","1","0.044","0.054","0.214","0.758","0.998","1","0.07","0.06","0.076","0.176","0.466","0.82","0.052","0.052","0.04","0.097","0.372","0.746","0.066","0.056","0.076","0.26","0.684","0.948","0.054","0.048","0.042","0.158","0.562","0.92"
"T_PE3","0.046","0.064","0.112","0.456","0.864","0.992","0.068","0.068","0.094","0.376","0.809","0.985","0.052","0.072","0.256","0.81","0.996","1","0.064","0.068","0.218","0.766","0.996","1","0.058","0.064","0.072","0.168","0.456","0.816","0.038","0.052","0.058","0.109","0.375","0.744","0.054","0.06","0.074","0.26","0.676","0.95","0.038","0.046","0.058","0.172","0.57","0.924"
"MCL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
