"","ERR.102","ERR.107","ERR.103","ERR.104","ERR.105","ERR.106","ERR.306","ERR.311","ERR.307","ERR.308","ERR.309","ERR.310"
"model","5","5","5","5","5","5","5","5","5","5","5","5"
"n","200","200","200","200","200","200","200","200","200","200","200","200"
"p","600","600","600","600","600","600","600","600","600","600","600","600"
"delta","0","0.8","1.6","2.4","3.2","4","0","0.8","1.6","2.4","3.2","4"
"combine","True","True","True","True","True","True","True","True","True","True","True","True"
"covmatrix","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR","AR"
"method","1","1","1","1","1","1","2","2","2","2","2","2"
"T_PE2","0.078","0.118","0.976","1","1","1","0.046","0.134","0.92","1","1","1"
"T_PE3","0.09","0.14","0.978","1","1","1","0.08","0.152","0.928","1","1","1"
"MCL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
